"code","Average Return","Std Dev (Sigma_Ri)","beta","Sigma Epsilon","Treynor Ratio (TR)","Ci"
"INFRATEL",-0.08236094092515767,0.023310452898781704,-0.10987133514361214,0.02329121932731217,1.2957059340280026,0.08469592647171639
"INFY",0.925820181407986,0.015851885988661173,0.03812054725814475,0.01584848232547196,22.71269023355893,0.08666323934100931
"IOC",1.2704718152647132,0.020208324879369337,-0.034721241990676284,0.020206110017608716,-34.86257247335109,0.0962155656813148
"ITC",0.0866085580881304,0.015379033712945097,-0.017420284942320768,0.015378301133986371,-1.5274467769173898,0.0886846838252183
"JSWSTEEL",2.269713777678523,0.02091072519266613,-0.10364796564908309,0.020891643657844326,-21.319412916987346,0.08853339940480616
"KOTAKBANK",1.6961471754598794,0.014474465723890917,-0.04641981902324506,0.014468937954503002,-35.246737490307034,0.050163029691703206
"LT",0.4346520676465402,0.015921495236429044,0.006613570324091996,0.015921393247712086,56.64898826005569,0.023727416252199388
"M&M",-0.07200646957747692,0.016530816998137045,-0.014190278873445957,0.016530364771520315,9.302598684265362,0.024438357677681762
"MARUTI",1.3439380436133623,0.015970172861014407,-0.0640843040715404,0.01596062323792813,-20.03514062008133,0.02493583050605495
"NESTLEIND",1.5304792274752836,0.015095960942504379,-0.01858625989621362,0.015095111374583445,-79.11646752420849,0.0014331380390122269
"NTPC",0.15440769885275407,0.014700935869072779,0.06860444145306088,0.014689045432834927,1.3761164270588482,-0.007282910843216374
"ONGC",-0.3176272205234816,0.01795034247262861,-0.07941794291423607,0.017937293237632483,4.754935807532608,-0.005093584165227232
"POWERGRID",0.5633686367333648,0.013144999093030784,0.0012988338208140336,0.013144994328618532,387.55430345806866,0.0016666470056893457
"RELIANCE",2.703768249638566,0.01622143287356626,-0.03410158055944251,0.01621877117989555,-77.52626729515396,0.001940769845184718
"SBIN",0.10245756578012566,0.02187313658528324,0.046104817164629074,0.021869528473355607,0.9208921841837054,-0.022882669077511932
"SHREECEM",1.2159182330719016,0.01831725987654444,0.004715367833668823,0.018317214812121195,245.13850750271834,-0.02257897838857071
"SUNPHARMA",-0.46583523084064193,0.02046947546553589,0.10372237094344486,0.020449954201676838,-5.069641448201722,-0.021402697514749422
"TATAMOTORS",-0.6273534086635547,0.026960285198537205,-0.050837232845209065,0.026956726176906465,13.520669206296725,-0.030787802995829835
"TATASTEEL",0.3821141975828075,0.022592041142320562,-0.0199131485873828,0.022591389523981684,-16.175955106712898,-0.027305689074090853
"TCS",0.975336771466325,0.014213510208510327,0.03142889275238228,0.014210929975813493,29.124054056818252,-0.02821211700895157
"TECHM",0.32169166067809973,0.017645364674355048,0.005813216680483107,0.017645293574961637,45.01667064238037,-0.017914537759864062
"TITAN",2.243272731252721,0.01974512250596761,-0.052922153299480086,0.019739855840404965,-41.25441984376267,-0.01756154348050008
"ULTRACEMCO",0.5424112578342866,0.016681816989477842,-0.015483648126281203,0.016681283442313594,-31.156175463291806,-0.03895561831049152
"UPL",1.7359322480602564,0.020932251743057368,-0.024267939310922682,0.02093120720727052,-69.05952032383487,-0.04089062434772151
"WIPRO",0.3327613658946209,0.013445588338474791,0.019541259913665992,0.013444533939493223,13.958228236034458,-0.04758631403689771
"ZEEL",-0.16848287087370006,0.02441804366410714,-0.07798957527900395,0.024408794400826904,2.929659125034514,-0.04545126663949973
